economy,time,DT.NFL.UNEP.CD,EG.ELC.RNEW.ZS,IQ.CPA.ENVR.XQ,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD
RUS,2006,,17.4938246140069,,9.65080046619709,9693.19784425353
RUS,2007,,17.5206409321501,,8.07260339904429,10535.1258045942
RUS,2008,,15.9141050296072,,9.15126972658507,11087.821053001
RUS,2009,,17.6440464827356,,7.14800918595724,10219.8942411996
RUS,2010,,16.1205888143799,,7.68029663452717,10674.9957825675
RUS,2011,,15.8030239287522,,8.97702770196976,11125.3445917138
RUS,2012,,15.5637311058596,,8.14963046992822,11553.5764196495
RUS,2013,,17.1746302202462,,7.31875286495802,11731.3817803499
RUS,2014,,16.5682511980707,,7.0678128647363,11608.7586367575
RUS,2015,,15.8557951545716,,4.98952607395633,11355.236304971
RUS,2016,,,,4.14209219294475,11356.4000420395
RUS,2017,,,,5.22773640928422,11550.5251991967
RUS,2018,,,,8.00284740690662,11875.7332037328
RUS,2019,,,,7.30984536968529,12122.6072885872
TUR,2000,,24.9387617873553,,0.0923698322916233,6543.7314468452
TUR,2001,,19.8378488490528,,0.0913001846518461,6075.99562671406
TUR,2002,,26.2488408037094,,0.0730916682686047,6373.13190722821
TUR,2003,,25.2943143098996,,0.0650093768151506,6644.14590345974
TUR,2004,,30.7309984206824,,0.0721704277177346,7194.68202623479
TUR,2005,,24.5424683247302,,0.079512483026726,7738.57821530378
TUR,2006,,25.2536883362923,,0.0879368144514328,8173.53625104099
TUR,2007,,19.031833700498,,0.0802723925156495,8483.96613595463
TUR,2008,,17.3477204689091,,0.125825470861104,8451.47911084719
TUR,2009,,19.5783627291953,,0.0778789992316705,7942.03133076445
TUR,2010,,26.3777887201242,,0.0990900961451263,8491.58865227409
TUR,2011,,25.3268408364684,,0.12795302860344,9299.13730289693
TUR,2012,,27.2305174199152,,0.101841548925694,9586.76908831811
TUR,2013,,28.8231717980962,,0.0828652697576214,10225.7160912882
TUR,2014,,20.8871937546386,,0.0750388289387402,10549.676064426
TUR,2015,,31.9566205597766,,0.0362218849398551,11006.2795239649
TUR,2016,,,,0.0297182390770059,11187.0536378814
TUR,2017,,,,0.0447585867576236,11835.2611056347
TUR,2018,,,,0.0886690342849289,12004.3769123433
TUR,2019,,,,0.0861555969727859,11956.1978210009
ZAF,2000,,0.677453966329383,,1.00401150614205,4505.89639890697
ZAF,2001,,1.1010073352452,,1.65833316121914,4566.26668616395
ZAF,2002,,1.20879925330796,,1.18315340058674,4675.76293282338
ZAF,2003,,0.417733342558638,,0.94554750354921,4755.10182977479
ZAF,2004,,0.508031378408666,,2.20507109847548,4911.49941036713
ZAF,2005,,0.665138088450972,,1.63099035131334,5107.07681426935
ZAF,2006,,1.26768480093761,,1.62441691674024,5325.5452787136
ZAF,2007,,0.44299424184261,,2.03722546941047,5539.01956682105
ZAF,2008,,0.587823214712017,,4.57611322505659,5640.02359087937
ZAF,2009,,0.693636934546118,,1.5059280589168,5476.53437522754
ZAF,2010,,0.948380661450703,,2.1037879234324,5561.47928988453
ZAF,2011,,0.918420809319814,,2.40108888162942,5657.22171750527
ZAF,2012,,0.602950810668738,,1.81478313538086,5691.71454556114
ZAF,2013,,0.609023981800373,,1.55486864605141,5740.32639507131
ZAF,2014,,1.29313627636078,,1.14900426265856,5754.48537962501
ZAF,2015,,2.25504182608132,,0.857186917855145,5734.63342207587
ZAF,2016,,,,1.02891083236508,5673.39345509888
ZAF,2017,,,,1.17942950052051,5672.69308916239
ZAF,2018,,,,1.33325665868385,5639.90199673467
ZAF,2019,,,,1.02372531125016,5574.64388994402
