areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E08000016,Barnsley,utla,2021-12-14,170521
E08000031,Wolverhampton,utla,2021-12-14,163633
E08000032,Bradford,utla,2021-12-14,327032
E09000018,Hounslow,utla,2021-12-14,186669
E09000032,Wandsworth,utla,2021-12-14,229634
E09000033,Westminster,utla,2021-12-14,145780
E10000034,Worcestershire,utla,2021-12-14,440569
S12000013,Na h-Eileanan Siar,utla,2021-12-14,20538
S12000029,South Lanarkshire,utla,2021-12-14,242601
S12000045,East Dunbartonshire,utla,2021-12-14,85738
E06000003,Redcar and Cleveland,utla,2021-12-13,97819
E06000014,York,utla,2021-12-13,148132
E06000050,Cheshire West and Chester,utla,2021-12-13,259368
E08000001,Bolton,utla,2021-12-13,190244
E08000016,Barnsley,utla,2021-12-13,170376
E08000031,Wolverhampton,utla,2021-12-13,163458
E08000032,Bradford,utla,2021-12-13,326718
E09000018,Hounslow,utla,2021-12-13,186507
E09000032,Wandsworth,utla,2021-12-13,229464
E09000033,Westminster,utla,2021-12-13,145624
E10000034,Worcestershire,utla,2021-12-13,440091
S12000013,Na h-Eileanan Siar,utla,2021-12-13,20529
S12000029,South Lanarkshire,utla,2021-12-13,242527
S12000045,East Dunbartonshire,utla,2021-12-13,85713
E06000003,Redcar and Cleveland,utla,2021-12-12,97782
E06000014,York,utla,2021-12-12,147991
E06000050,Cheshire West and Chester,utla,2021-12-12,259214
E08000001,Bolton,utla,2021-12-12,190114
E08000016,Barnsley,utla,2021-12-12,170264
E08000031,Wolverhampton,utla,2021-12-12,163329
E08000032,Bradford,utla,2021-12-12,326504
E09000018,Hounslow,utla,2021-12-12,186362
E09000032,Wandsworth,utla,2021-12-12,229336
E09000033,Westminster,utla,2021-12-12,145493
E10000034,Worcestershire,utla,2021-12-12,439816
S12000013,Na h-Eileanan Siar,utla,2021-12-12,20526
S12000029,South Lanarkshire,utla,2021-12-12,242468
S12000045,East Dunbartonshire,utla,2021-12-12,85666
E06000003,Redcar and Cleveland,utla,2021-12-11,97703
E06000014,York,utla,2021-12-11,147876
E06000050,Cheshire West and Chester,utla,2021-12-11,259122
E08000001,Bolton,utla,2021-12-11,190025
E08000016,Barnsley,utla,2021-12-11,170132
E08000031,Wolverhampton,utla,2021-12-11,163233
E08000032,Bradford,utla,2021-12-11,326262
E09000018,Hounslow,utla,2021-12-11,186241
E09000032,Wandsworth,utla,2021-12-11,229199
E09000033,Westminster,utla,2021-12-11,145441
E10000034,Worcestershire,utla,2021-12-11,439642
S12000013,Na h-Eileanan Siar,utla,2021-12-11,20511
S12000029,South Lanarkshire,utla,2021-12-11,242033
S12000045,East Dunbartonshire,utla,2021-12-11,85616
E06000003,Redcar and Cleveland,utla,2021-12-10,97680
E06000014,York,utla,2021-12-10,147736
E06000050,Cheshire West and Chester,utla,2021-12-10,258943
E08000001,Bolton,utla,2021-12-10,189792
E08000016,Barnsley,utla,2021-12-10,170003
E08000031,Wolverhampton,utla,2021-12-10,163066
E08000032,Bradford,utla,2021-12-10,325939
E09000018,Hounslow,utla,2021-12-10,186016
E09000032,Wandsworth,utla,2021-12-10,229001
E09000033,Westminster,utla,2021-12-10,145290
E10000034,Worcestershire,utla,2021-12-10,439388
S12000013,Na h-Eileanan Siar,utla,2021-12-10,20481
S12000029,South Lanarkshire,utla,2021-12-10,241821
S12000045,East Dunbartonshire,utla,2021-12-10,85594
E06000003,Redcar and Cleveland,utla,2021-12-09,97620
E06000014,York,utla,2021-12-09,147624
E06000050,Cheshire West and Chester,utla,2021-12-09,258816
E08000001,Bolton,utla,2021-12-09,189645
E08000016,Barnsley,utla,2021-12-09,169881
E08000031,Wolverhampton,utla,2021-12-09,162889
E08000032,Bradford,utla,2021-12-09,325741
E09000018,Hounslow,utla,2021-12-09,185802
E09000032,Wandsworth,utla,2021-12-09,228808
E09000033,Westminster,utla,2021-12-09,145107
E10000034,Worcestershire,utla,2021-12-09,439066
S12000013,Na h-Eileanan Siar,utla,2021-12-09,20458
