economy,time,EG.ELC.RNEW.ZS,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD,iff
TUR,2009,19.5783627291953,0.0778789992316705,7942.03133076445,502.42
TUR,2010,26.3777887201242,0.0990900961451263,8491.58865227409,288.88
TUR,2011,25.3268408364684,0.12795302860344,9299.13730289693,820.36
TUR,2012,27.2305174199152,0.101841548925694,9586.76908831811,283.78
TUR,2013,28.8231717980962,0.0828652697576214,10225.7160912882,606.62
TUR,2014,20.8871937546386,0.0750388289387402,10549.676064426,544.01
TUR,2015,31.9566205597766,0.0362218849398551,11006.2795239649,438.63
TUR,2016,,0.0297182390770059,11187.0536378814,1454.99
TUR,2017,,0.0447585867576236,11835.2611056347,399.98
TUR,2018,,0.0886690342849289,12004.3769123433,1003.48
ZAF,2000,0.677453966329383,1.00401150614205,4505.89639890697,0.38
ZAF,2001,1.1010073352452,1.65833316121914,4566.26668616395,1.27
ZAF,2002,1.20879925330796,1.18315340058674,4675.76293282338,26.26
ZAF,2004,0.508031378408666,2.20507109847548,4911.49941036713,0.04
ZAF,2005,0.665138088450972,1.63099035131334,5107.07681426935,13.43
ZAF,2006,1.26768480093761,1.62441691674024,5325.5452787136,8.08
ZAF,2007,0.44299424184261,2.03722546941047,5539.01956682105,1.2
ZAF,2008,0.587823214712017,4.57611322505659,5640.02359087937,1.2
ZAF,2009,0.693636934546118,1.5059280589168,5476.53437522754,0.1
ZAF,2010,0.948380661450703,2.1037879234324,5561.47928988453,265.36
ZAF,2011,0.918420809319814,2.40108888162942,5657.22171750527,269.41
ZAF,2012,0.602950810668738,1.81478313538086,5691.71454556114,484.25
ZAF,2013,0.609023981800373,1.55486864605141,5740.32639507131,345.13
ZAF,2014,1.29313627636078,1.14900426265856,5754.48537962501,206.81
ZAF,2015,2.25504182608132,0.857186917855145,5734.63342207587,725.35
ZAF,2016,,1.02891083236508,5673.39345509888,207.09
ZAF,2017,,1.17942950052051,5672.69308916239,27.0
ZAF,2018,,1.33325665868385,5639.90199673467,358.63
